Average of RT,Column Labels,,,,
Row Labels,1,2,(blank),Grand Total,
1,719.7050809,755.7182844,,737.6676328,
1,737.033125,745.7305813,,741.3580896,8.697456319
2,731.1805228,784.2872011,,758.0193817,53.10667824
3,703.9854849,769.4796933,,736.1957514,65.49420839
4,702.0159281,770.7143565,,735.5755052,68.69842838
5,711.3811758,756.0644255,,734.0850973,44.68324971
6,719.3920745,765.4316713,,742.4118729,46.03959681
7,744.6057232,741.8949345,,743.3099066,-2.710788675
8,706.9237225,737.2410043,,722.3336116,30.31728188
9,728.3028245,739.8939313,,734.1593837,11.59110678
10,719.2310448,749.966989,,734.9443646,30.73594418
11,728.0490365,751.3663344,,739.3316,23.31729799
12,705.7522043,765.2011574,,735.4766809,59.44895319
13,743.6780844,740.8142798,,742.2150538,-2.863804657
14,687.1291209,736.8421241,,712.1293017,49.71300321
15,707.031248,765.9906576,,735.5800147,58.95940965
16,721.3713934,745.2911739,,733.3966383,23.91978051
17,718.2042714,765.6187583,,742.5453984,47.4144869
18,719.3727638,769.4940534,,743.6072335,50.12128958
19,744.1962969,765.9311495,,754.9505208,21.73485257
20,711.0824978,746.4112903,,728.9388984,35.32879252
2,746.8578426,740.0715596,,743.429553,
1,742.6008642,734.7105306,,738.5943736,7.890333598
2,730.4327863,725.2760576,,727.8957861,5.156728707
3,741.7499596,757.0183538,,749.3433321,-15.26839419
4,762.9059815,727.2180684,,744.4985316,35.68791315
5,715.3889386,708.4437606,,711.7120797,6.94517803
6,764.309757,737.2778463,,750.6500149,27.03191067
7,773.599167,749.14272,,760.9031973,24.45644705
8,716.6383,742.2932913,,729.6067571,-25.6549913
9,737.7865406,737.6402102,,737.7126211,0.146330421
10,762.860425,755.9962383,,759.3914274,6.864186702
11,750.3798532,739.7328205,,745.2318374,10.64703274
12,767.244,732.0492667,,749.3759046,35.19473333
13,758.5309275,742.152214,,750.252556,16.37871349
14,740.0708135,729.4892781,,734.7800458,10.58153542
15,743.9310802,742.6571894,,743.3008395,1.273890847
16,750.4412634,744.7230867,,747.5073298,5.718176706
17,741.1749116,752.2953271,,746.7642304,-11.1204155
18,741.7831794,768.7438433,,755.2635113,-26.96066392
19,746.1206791,752.4318117,,749.3274168,-6.311132581
20,749.3627692,723.6507366,,736.3670136,25.71203267
(blank),,,,,
(blank),,,,,
Grand Total,733.3510466,747.7546583,,740.5818764,
