RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,currTrial,fileName,sid,CongruentOrNot,errorCount,trimData,outlier,
802.189,Experiment4Metamer_ResponseGroup2.m,1,2,2,13,19,p,0,11,Data_6_2_20141022T120014.mat,10,2,0,802.189,0,
697.3478,Experiment4Metamer_ResponseGroup2.m,2,17,2,13,20,q,0,12,Data_6_2_20141022T120014.mat,10,1,0,697.3478,0,
811.7814,Experiment4Metamer_ResponseGroup2.m,2,14,2,11,20,q,0,13,Data_6_2_20141022T120014.mat,10,1,0,811.7814,0,
738.5222,Experiment4Metamer_ResponseGroup2.m,2,6,2,12,20,q,0,14,Data_6_2_20141022T120014.mat,10,1,0,738.5222,0,
736.3217,Experiment4Metamer_ResponseGroup2.m,2,7,2,5,20,q,0,15,Data_6_2_20141022T120014.mat,10,1,0,736.3217,0,
511.372,Experiment4Metamer_ResponseGroup2.m,1,10,1,4,19,p,0,16,Data_6_2_20141022T120014.mat,10,1,0,511.372,0,
639.0816,Experiment4Metamer_ResponseGroup2.m,1,2,1,4,19,p,0,17,Data_6_2_20141022T120014.mat,10,1,0,639.0816,0,
718.8379,Experiment4Metamer_ResponseGroup2.m,2,3,2,19,20,q,0,18,Data_6_2_20141022T120014.mat,10,1,0,718.8379,0,
743.1998,Experiment4Metamer_ResponseGroup2.m,2,12,1,19,20,q,0,19,Data_6_2_20141022T120014.mat,10,2,0,743.1998,0,
800.3602,Experiment4Metamer_ResponseGroup2.m,2,2,1,19,20,q,0,20,Data_6_2_20141022T120014.mat,10,2,0,800.3602,0,
673.8139,Experiment4Metamer_ResponseGroup2.m,2,12,2,1,20,q,0,22,Data_6_2_20141022T120014.mat,10,1,0,673.8139,0,
756.7947,Experiment4Metamer_ResponseGroup2.m,1,3,2,11,19,p,0,23,Data_6_2_20141022T120014.mat,10,2,0,756.7947,0,
671.4296,Experiment4Metamer_ResponseGroup2.m,2,3,1,8,20,q,0,24,Data_6_2_20141022T120014.mat,10,2,0,671.4296,0,
697.3192,Experiment4Metamer_ResponseGroup2.m,1,9,1,11,19,p,0,25,Data_6_2_20141022T120014.mat,10,1,0,697.3192,0,
593.6619,Experiment4Metamer_ResponseGroup2.m,2,19,2,2,20,q,0,26,Data_6_2_20141022T120014.mat,10,1,0,593.6619,0,
640.8455,Experiment4Metamer_ResponseGroup2.m,2,8,1,10,20,q,0,27,Data_6_2_20141022T120014.mat,10,2,0,640.8455,0,
673.1344,Experiment4Metamer_ResponseGroup2.m,1,13,1,6,19,p,0,28,Data_6_2_20141022T120014.mat,10,1,0,673.1344,0,
586.6297,Experiment4Metamer_ResponseGroup2.m,2,3,2,15,20,q,0,29,Data_6_2_20141022T120014.mat,10,1,0,586.6297,0,
730.8147,Experiment4Metamer_ResponseGroup2.m,1,11,2,6,19,p,0,30,Data_6_2_20141022T120014.mat,10,2,0,730.8147,0,
674.3288,Experiment4Metamer_ResponseGroup2.m,2,3,2,16,20,q,0,31,Data_6_2_20141022T120014.mat,10,1,0,674.3288,0,
715.0641,Experiment4Metamer_ResponseGroup2.m,2,6,1,4,20,q,0,32,Data_6_2_20141022T120014.mat,10,2,0,715.0641,0,
657.9014,Experiment4Metamer_ResponseGroup2.m,1,2,1,17,19,p,0,33,Data_6_2_20141022T120014.mat,10,1,0,657.9014,0,
570.8787,Experiment4Metamer_ResponseGroup2.m,1,13,1,9,19,p,0,34,Data_6_2_20141022T120014.mat,10,1,0,570.8787,0,
678.3501,Experiment4Metamer_ResponseGroup2.m,2,14,2,18,20,q,0,35,Data_6_2_20141022T120014.mat,10,1,0,678.3501,0,
695.5711,Experiment4Metamer_ResponseGroup2.m,2,8,1,6,20,q,0,36,Data_6_2_20141022T120014.mat,10,2,0,695.5711,0,
573.8629,Experiment4Metamer_ResponseGroup2.m,2,6,2,3,20,q,0,37,Data_6_2_20141022T120014.mat,10,1,0,573.8629,0,
704.8219,Experiment4Metamer_ResponseGroup2.m,2,10,2,10,20,q,0,38,Data_6_2_20141022T120014.mat,10,1,0,704.8219,0,
736.8719,Experiment4Metamer_ResponseGroup2.m,1,9,2,16,19,p,0,39,Data_6_2_20141022T120014.mat,10,2,0,736.8719,0,
669.7796,Experiment4Metamer_ResponseGroup2.m,1,20,1,3,19,p,0,40,Data_6_2_20141022T120014.mat,10,1,0,669.7796,0,
745.5666,Experiment4Metamer_ResponseGroup2.m,1,15,1,2,19,p,0,41,Data_6_2_20141022T120014.mat,10,1,0,745.5666,0,
703.8694,Experiment4Metamer_ResponseGroup2.m,2,2,1,10,20,q,0,42,Data_6_2_20141022T120014.mat,10,2,0,703.8694,0,
684.957,Experiment4Metamer_ResponseGroup2.m,2,11,2,10,20,q,0,43,Data_6_2_20141022T120014.mat,10,1,0,684.957,0,
669.2508,Experiment4Metamer_ResponseGroup2.m,1,1,2,3,19,p,0,44,Data_6_2_20141022T120014.mat,10,2,0,669.2508,0,
