RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,currTrial,fileName,sid,CongruentOrNot,trimData,outlier,
902.3482,Experiment4Metamer_ResponseGroup1.m,1,15,2,7,20,q,0,11,Data_9_1_20141022T155535.mat,16,2,902.3482,0,
917.528,Experiment4Metamer_ResponseGroup1.m,1,13,2,10,20,q,0,12,Data_9_1_20141022T155535.mat,16,2,917.528,0,
965.5392,Experiment4Metamer_ResponseGroup1.m,1,17,2,7,20,q,0,13,Data_9_1_20141022T155535.mat,16,2,965.5392,0,
560.3192,Experiment4Metamer_ResponseGroup1.m,2,19,2,20,19,p,0,14,Data_9_1_20141022T155535.mat,16,1,560.3192,0,
621.5312,Experiment4Metamer_ResponseGroup1.m,1,20,1,4,20,q,0,15,Data_9_1_20141022T155535.mat,16,1,621.5312,0,
730.0287,Experiment4Metamer_ResponseGroup1.m,2,1,1,2,19,p,0,16,Data_9_1_20141022T155535.mat,16,2,730.0287,0,
500.8608,Experiment4Metamer_ResponseGroup1.m,1,14,1,15,20,q,0,17,Data_9_1_20141022T155535.mat,16,1,500.8608,0,
928.7219,Experiment4Metamer_ResponseGroup1.m,2,12,2,3,19,p,0,18,Data_9_1_20141022T155535.mat,16,1,928.7219,0,
932.2462,Experiment4Metamer_ResponseGroup1.m,2,15,2,15,19,p,0,19,Data_9_1_20141022T155535.mat,16,1,932.2462,0,
955.9086,Experiment4Metamer_ResponseGroup1.m,2,6,2,12,19,p,0,20,Data_9_1_20141022T155535.mat,16,1,955.9086,0,
639.4108,Experiment4Metamer_ResponseGroup1.m,1,17,1,13,20,q,0,21,Data_9_1_20141022T155535.mat,16,1,639.4108,0,
683.1381,Experiment4Metamer_ResponseGroup1.m,1,19,1,11,20,q,0,22,Data_9_1_20141022T155535.mat,16,1,683.1381,0,
536.6081,Experiment4Metamer_ResponseGroup1.m,2,2,1,5,19,p,0,23,Data_9_1_20141022T155535.mat,16,2,536.6081,0,
771.2422,Experiment4Metamer_ResponseGroup1.m,1,3,2,3,20,q,0,24,Data_9_1_20141022T155535.mat,16,2,771.2422,0,
922.901,Experiment4Metamer_ResponseGroup1.m,2,18,1,11,19,p,0,25,Data_9_1_20141022T155535.mat,16,2,922.901,0,
792.1951,Experiment4Metamer_ResponseGroup1.m,2,7,1,18,19,p,0,26,Data_9_1_20141022T155535.mat,16,2,792.1951,0,
613.2564,Experiment4Metamer_ResponseGroup1.m,1,11,2,7,20,q,0,27,Data_9_1_20141022T155535.mat,16,2,613.2564,0,
626.7787,Experiment4Metamer_ResponseGroup1.m,1,19,1,17,20,q,0,28,Data_9_1_20141022T155535.mat,16,1,626.7787,0,
559.2212,Experiment4Metamer_ResponseGroup1.m,1,6,1,11,20,q,0,29,Data_9_1_20141022T155535.mat,16,1,559.2212,0,
757.9021,Experiment4Metamer_ResponseGroup1.m,2,18,1,17,19,p,0,30,Data_9_1_20141022T155535.mat,16,2,757.9021,0,
699.2416,Experiment4Metamer_ResponseGroup1.m,1,9,2,18,20,q,0,31,Data_9_1_20141022T155535.mat,16,2,699.2416,0,
511.316,Experiment4Metamer_ResponseGroup1.m,1,3,2,4,20,q,0,32,Data_9_1_20141022T155535.mat,16,2,511.316,0,
426.4379,Experiment4Metamer_ResponseGroup1.m,1,13,1,6,20,q,0,33,Data_9_1_20141022T155535.mat,16,1,426.4379,0,
669.1519,Experiment4Metamer_ResponseGroup1.m,2,3,1,14,19,p,0,34,Data_9_1_20141022T155535.mat,16,2,669.1519,0,
719.6325,Experiment4Metamer_ResponseGroup1.m,2,12,1,4,19,p,0,35,Data_9_1_20141022T155535.mat,16,2,719.6325,0,
767.7151,Experiment4Metamer_ResponseGroup1.m,2,4,2,6,19,p,0,36,Data_9_1_20141022T155535.mat,16,1,767.7151,0,
786.5263,Experiment4Metamer_ResponseGroup1.m,2,12,2,11,19,p,0,37,Data_9_1_20141022T155535.mat,16,1,786.5263,0,
804.5813,Experiment4Metamer_ResponseGroup1.m,1,8,2,5,20,q,0,38,Data_9_1_20141022T155535.mat,16,2,804.5813,0,
651.0183,Experiment4Metamer_ResponseGroup1.m,1,18,1,4,20,q,0,39,Data_9_1_20141022T155535.mat,16,1,651.0183,0,
629.7683,Experiment4Metamer_ResponseGroup1.m,1,5,1,12,20,q,0,40,Data_9_1_20141022T155535.mat,16,1,629.7683,0,
728.659,Experiment4Metamer_ResponseGroup1.m,2,20,1,15,19,p,0,41,Data_9_1_20141022T155535.mat,16,2,728.659,0,
654.0421,Experiment4Metamer_ResponseGroup1.m,2,8,1,16,19,p,0,42,Data_9_1_20141022T155535.mat,16,2,654.0421,0,
732.7967,Experiment4Metamer_ResponseGroup1.m,2,20,2,6,19,p,0,44,Data_9_1_20141022T155535.mat,16,1,732.7967,0,
634.7353,Experiment4Metamer_ResponseGroup1.m,1,17,1,20,20,q,0,45,Data_9_1_20141022T155535.mat,16,1,634.7353,0,
767.4444,Experiment4Metamer_ResponseGroup1.m,1,10,2,17,20,q,0,46,Data_9_1_20141022T155535.mat,16,2,767.4444,0,
705.3507,Experiment4Metamer_ResponseGroup1.m,2,7,2,13,19,p,0,48,Data_9_1_20141022T155535.mat,16,1,705.3507,0,
576.8026,Experiment4Metamer_ResponseGroup1.m,2,8,1,2,19,p,0,49,Data_9_1_20141022T155535.mat,16,2,576.8026,0,
626.1311,Experiment4Metamer_ResponseGroup1.m,1,18,2,20,20,q,0,50,Data_9_1_20141022T155535.mat,16,2,626.1311,0,
621.4128,Experiment4Metamer_ResponseGroup1.m,2,6,1,19,19,p,0,51,Data_9_1_20141022T155535.mat,16,2,621.4128,0,
512.6702,Experiment4Metamer_ResponseGroup1.m,1,6,2,2,20,q,0,52,Data_9_1_20141022T155535.mat,16,2,512.6702,0,
479.9255,Experiment4Metamer_ResponseGroup1.m,2,10,2,11,19,p,0,53,Data_9_1_20141022T155535.mat,16,1,479.9255,0,
685.9496,Experiment4Metamer_ResponseGroup1.m,2,10,1,1,19,p,0,54,Data_9_1_20141022T155535.mat,16,2,685.9496,0,
766.6756,Experiment4Metamer_ResponseGroup1.m,1,7,1,13,20,q,0,56,Data_9_1_20141022T155535.mat,16,1,766.6756,0,
567.6885,Experiment4Metamer_ResponseGroup1.m,1,9,2,7,20,q,0,57,Data_9_1_20141022T155535.mat,16,2,567.6885,0,
723.7764,Experiment4Metamer_ResponseGroup1.m,1,20,2,3,20,q,0,58,Data_9_1_20141022T155535.mat,16,2,723.7764,0,
703.3557,Experiment4Metamer_ResponseGroup1.m,1,1,1,20,20,q,0,59,Data_9_1_20141022T155535.mat,16,1,703.3557,0,
476.4264,Experiment4Metamer_ResponseGroup1.m,1,6,2,18,20,q,0,60,Data_9_1_20141022T155535.mat,16,2,476.4264,0,
762.0021,Experiment4Metamer_ResponseGroup1.m,2,1,2,8,19,p,0,61,Data_9_1_20141022T155535.mat,16,1,762.0021,0,
571.8631,Experiment4Metamer_ResponseGroup1.m,2,16,2,19,19,p,0,62,Data_9_1_20141022T155535.mat,16,1,571.8631,0,
697.1684,Experiment4Metamer_ResponseGroup1.m,1,15,2,5,20,q,0,63,Data_9_1_20141022T155535.mat,16,2,697.1684,0,
592.066,Experiment4Metamer_ResponseGroup1.m,1,2,2,20,20,q,0,64,Data_9_1_20141022T155535.mat,16,2,592.066,0,
