RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,currTrial,fileName,sid,CongruentOrNot,errorCount,trimData,outlier,
389.1148,Experiment4Metamer_ResponseGroup1.m,2,14,2,11,19,p,0,13,Data_17_1_20141027T120440.mat,8,1,0,389.1148,0,
322.2513,Experiment4Metamer_ResponseGroup1.m,2,7,2,5,19,p,0,15,Data_17_1_20141027T120440.mat,8,1,0,322.2513,0,
495.1666,Experiment4Metamer_ResponseGroup1.m,1,10,1,4,20,q,0,16,Data_17_1_20141027T120440.mat,8,1,0,495.1666,0,
730.8079,Experiment4Metamer_ResponseGroup1.m,1,2,1,4,20,q,0,17,Data_17_1_20141027T120440.mat,8,1,0,730.8079,0,
985.612,Experiment4Metamer_ResponseGroup1.m,2,19,2,2,19,p,0,26,Data_17_1_20141027T120440.mat,8,1,0,985.612,0,
712.6227,Experiment4Metamer_ResponseGroup1.m,2,8,1,10,19,p,0,27,Data_17_1_20141027T120440.mat,8,2,0,712.6227,0,
938.1922,Experiment4Metamer_ResponseGroup1.m,1,13,1,6,20,q,0,28,Data_17_1_20141027T120440.mat,8,1,0,938.1922,0,
701.5759,Experiment4Metamer_ResponseGroup1.m,2,3,2,15,19,p,0,29,Data_17_1_20141027T120440.mat,8,1,0,701.5759,0,
868.875,Experiment4Metamer_ResponseGroup1.m,1,11,2,6,20,q,0,30,Data_17_1_20141027T120440.mat,8,2,0,868.875,0,
701.2833,Experiment4Metamer_ResponseGroup1.m,2,3,2,16,19,p,0,31,Data_17_1_20141027T120440.mat,8,1,0,701.2833,0,
695.8122,Experiment4Metamer_ResponseGroup1.m,2,6,1,4,19,p,0,32,Data_17_1_20141027T120440.mat,8,2,0,695.8122,0,
699.4037,Experiment4Metamer_ResponseGroup1.m,1,13,1,9,20,q,0,34,Data_17_1_20141027T120440.mat,8,1,0,699.4037,0,
847.4026,Experiment4Metamer_ResponseGroup1.m,2,14,2,18,19,p,0,35,Data_17_1_20141027T120440.mat,8,1,0,847.4026,0,
777.9236,Experiment4Metamer_ResponseGroup1.m,2,8,1,6,19,p,0,36,Data_17_1_20141027T120440.mat,8,2,0,777.9236,0,
497.8692,Experiment4Metamer_ResponseGroup1.m,2,6,2,3,19,p,0,37,Data_17_1_20141027T120440.mat,8,1,0,497.8692,0,
863.463,Experiment4Metamer_ResponseGroup1.m,2,10,2,10,19,p,0,38,Data_17_1_20141027T120440.mat,8,1,0,863.463,0,
1063.1732,Experiment4Metamer_ResponseGroup1.m,1,20,1,3,20,q,0,40,Data_17_1_20141027T120440.mat,8,1,0,1063.1732,0,
790.2054,Experiment4Metamer_ResponseGroup1.m,2,11,2,10,19,p,0,43,Data_17_1_20141027T120440.mat,8,1,0,790.2054,0,
1066.6329,Experiment4Metamer_ResponseGroup1.m,2,11,2,16,19,p,0,45,Data_17_1_20141027T120440.mat,8,1,0,1066.6329,0,
956.7202,Experiment4Metamer_ResponseGroup1.m,2,19,2,3,19,p,0,46,Data_17_1_20141027T120440.mat,8,1,0,956.7202,0,
1040.2895,Experiment4Metamer_ResponseGroup1.m,1,12,2,17,20,q,0,47,Data_17_1_20141027T120440.mat,8,2,0,1040.2895,0,
790.8159,Experiment4Metamer_ResponseGroup1.m,2,16,2,10,19,p,0,48,Data_17_1_20141027T120440.mat,8,1,0,790.8159,0,
1202.2446,Experiment4Metamer_ResponseGroup1.m,1,17,1,8,20,q,0,49,Data_17_1_20141027T120440.mat,8,1,0,1202.2446,0,
863.6959,Experiment4Metamer_ResponseGroup1.m,2,13,2,20,19,p,0,50,Data_17_1_20141027T120440.mat,8,1,0,863.6959,0,
790.2743,Experiment4Metamer_ResponseGroup1.m,1,8,2,17,20,q,0,51,Data_17_1_20141027T120440.mat,8,2,0,790.2743,0,
772.2703,Experiment4Metamer_ResponseGroup1.m,2,3,2,8,19,p,0,52,Data_17_1_20141027T120440.mat,8,1,0,772.2703,0,
611.2211,Experiment4Metamer_ResponseGroup1.m,2,17,2,12,19,p,0,53,Data_17_1_20141027T120440.mat,8,1,0,611.2211,0,
583.652,Experiment4Metamer_ResponseGroup1.m,1,19,2,1,20,q,0,54,Data_17_1_20141027T120440.mat,8,2,0,583.652,0,
747.9303,Experiment4Metamer_ResponseGroup1.m,2,1,2,8,19,p,0,55,Data_17_1_20141027T120440.mat,8,1,0,747.9303,0,
601.1656,Experiment4Metamer_ResponseGroup1.m,2,1,2,6,19,p,0,56,Data_17_1_20141027T120440.mat,8,1,0,601.1656,0,
697.3576,Experiment4Metamer_ResponseGroup1.m,2,13,2,19,19,p,0,57,Data_17_1_20141027T120440.mat,8,1,0,697.3576,0,
346.2495,Experiment4Metamer_ResponseGroup1.m,1,5,2,17,20,q,0,61,Data_17_1_20141027T120440.mat,8,2,0,346.2495,0,
715.2696,Experiment4Metamer_ResponseGroup1.m,2,18,1,19,19,p,0,75,Data_17_1_20141027T120440.mat,8,2,0,715.2696,0,
302.7059,Experiment4Metamer_ResponseGroup1.m,2,13,1,14,19,p,0,76,Data_17_1_20141027T120440.mat,8,2,0,302.7059,0,
387.3205,Experiment4Metamer_ResponseGroup1.m,2,20,1,2,19,p,0,78,Data_17_1_20141027T120440.mat,8,2,0,387.3205,0,
948.4861,Experiment4Metamer_ResponseGroup1.m,2,9,1,14,19,p,0,79,Data_17_1_20141027T120440.mat,8,2,0,948.4861,0,
609.6292,Experiment4Metamer_ResponseGroup1.m,2,15,2,19,19,p,0,80,Data_17_1_20141027T120440.mat,8,1,0,609.6292,0,
333.7181,Experiment4Metamer_ResponseGroup1.m,2,5,2,17,19,p,0,81,Data_17_1_20141027T120440.mat,8,1,0,333.7181,0,
414.8597,Experiment4Metamer_ResponseGroup1.m,2,7,1,1,19,p,0,82,Data_17_1_20141027T120440.mat,8,2,0,414.8597,0,
456.5397,Experiment4Metamer_ResponseGroup1.m,2,20,2,14,19,p,0,87,Data_17_1_20141027T120440.mat,8,1,0,456.5397,0,
598.2954,Experiment4Metamer_ResponseGroup1.m,2,15,2,15,19,p,0,93,Data_17_1_20141027T120440.mat,8,1,0,598.2954,0,
879.4186,Experiment4Metamer_ResponseGroup1.m,2,15,2,14,19,p,0,94,Data_17_1_20141027T120440.mat,8,1,0,879.4186,0,
687.1998,Experiment4Metamer_ResponseGroup1.m,1,12,1,16,20,q,0,98,Data_17_1_20141027T120440.mat,8,1,0,687.1998,0,
402.0822,Experiment4Metamer_ResponseGroup1.m,2,19,2,9,19,p,0,99,Data_17_1_20141027T120440.mat,8,1,0,402.0822,0,
686.7296,Experiment4Metamer_ResponseGroup1.m,2,6,1,20,19,p,0,105,Data_17_1_20141027T120440.mat,8,2,0,686.7296,0,
650.3417,Experiment4Metamer_ResponseGroup1.m,1,8,2,5,20,q,0,110,Data_17_1_20141027T120440.mat,8,2,0,650.3417,0,
542.3726,Experiment4Metamer_ResponseGroup1.m,2,12,1,10,19,p,0,114,Data_17_1_20141027T120440.mat,8,2,0,542.3726,0,
703.1845,Experiment4Metamer_ResponseGroup1.m,1,10,2,18,20,q,0,123,Data_17_1_20141027T120440.mat,8,2,0,703.1845,0,
560.3963,Experiment4Metamer_ResponseGroup1.m,1,14,1,12,20,q,0,125,Data_17_1_20141027T120440.mat,8,1,0,560.3963,0,
348.4615,Experiment4Metamer_ResponseGroup1.m,1,9,2,19,20,q,0,126,Data_17_1_20141027T120440.mat,8,2,0,348.4615,0,
428.2884,Experiment4Metamer_ResponseGroup1.m,1,16,2,10,20,q,0,128,Data_17_1_20141027T120440.mat,8,2,0,428.2884,0,
352.1409,Experiment4Metamer_ResponseGroup1.m,1,3,1,12,20,q,0,129,Data_17_1_20141027T120440.mat,8,1,0,352.1409,0,
377.3409,Experiment4Metamer_ResponseGroup1.m,1,11,1,14,20,q,0,130,Data_17_1_20141027T120440.mat,8,1,0,377.3409,0,
636.6317,Experiment4Metamer_ResponseGroup1.m,2,6,1,13,19,p,0,139,Data_17_1_20141027T120440.mat,8,2,0,636.6317,0,
1261.3422,Experiment4Metamer_ResponseGroup1.m,2,13,2,20,19,p,0,141,Data_17_1_20141027T120440.mat,8,1,0,1261.3422,0,
365.5787,Experiment4Metamer_ResponseGroup1.m,1,5,2,11,20,q,0,146,Data_17_1_20141027T120440.mat,8,2,0,365.5787,0,
445.4189,Experiment4Metamer_ResponseGroup1.m,1,14,1,15,20,q,0,148,Data_17_1_20141027T120440.mat,8,1,0,445.4189,0,
854.7725,Experiment4Metamer_ResponseGroup1.m,2,11,2,14,19,p,0,150,Data_17_1_20141027T120440.mat,8,1,0,854.7725,0,
1355.4823,Experiment4Metamer_ResponseGroup1.m,1,19,1,14,20,q,0,152,Data_17_1_20141027T120440.mat,8,1,0,1355.4823,0,
756.717,Experiment4Metamer_ResponseGroup1.m,1,20,2,4,20,q,0,153,Data_17_1_20141027T120440.mat,8,2,0,756.717,0,
1140.7821,Experiment4Metamer_ResponseGroup1.m,2,14,1,3,19,p,0,154,Data_17_1_20141027T120440.mat,8,2,0,1140.7821,0,
