RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error
888,Experiment4Metamer_ResponseGroup2.m,1,13,1,16,888,888,888
888,Experiment4Metamer_ResponseGroup2.m,2,16,2,6,888,888,888
888,Experiment4Metamer_ResponseGroup2.m,1,5,1,18,888,888,888
888,Experiment4Metamer_ResponseGroup2.m,1,12,1,5,888,888,888
888,Experiment4Metamer_ResponseGroup2.m,2,19,1,11,888,888,888
888,Experiment4Metamer_ResponseGroup2.m,1,1,2,13,888,888,888
888,Experiment4Metamer_ResponseGroup2.m,1,9,1,12,888,888,888
888,Experiment4Metamer_ResponseGroup2.m,2,9,1,16,888,888,888
888,Experiment4Metamer_ResponseGroup2.m,1,12,2,2,888,888,888
888,Experiment4Metamer_ResponseGroup2.m,2,2,1,17,888,888,888
888,Experiment4Metamer_ResponseGroup2.m,1,1,1,10,888,888,888
0.63151,Experiment4Metamer_ResponseGroup2.m,2,20,1,2,19,p,1
1.8652,Experiment4Metamer_ResponseGroup2.m,2,12,2,19,19,p,1
0.70439,Experiment4Metamer_ResponseGroup2.m,2,13,1,12,19,p,1
0.60291,Experiment4Metamer_ResponseGroup2.m,1,2,1,20,20,q,1
0.78176,Experiment4Metamer_ResponseGroup2.m,2,5,2,7,19,p,1
0.67663,Experiment4Metamer_ResponseGroup2.m,2,14,2,16,19,p,1
0.6748,Experiment4Metamer_ResponseGroup2.m,1,10,1,17,20,q,1
0.7338,Experiment4Metamer_ResponseGroup2.m,1,3,1,2,20,q,1
0.58698,Experiment4Metamer_ResponseGroup2.m,1,6,1,8,20,q,1
0.60624,Experiment4Metamer_ResponseGroup2.m,2,7,1,20,19,p,1
0.48049,Experiment4Metamer_ResponseGroup2.m,1,19,1,12,20,q,1
1.6602,Experiment4Metamer_ResponseGroup2.m,2,4,2,14,19,p,1
0.58941,Experiment4Metamer_ResponseGroup2.m,1,18,2,19,20,q,1
0.63595,Experiment4Metamer_ResponseGroup2.m,1,3,2,13,20,q,1
0.5855,Experiment4Metamer_ResponseGroup2.m,2,17,1,20,19,p,1
0.70336,Experiment4Metamer_ResponseGroup2.m,1,11,2,10,20,q,1
0.69255,Experiment4Metamer_ResponseGroup2.m,2,17,1,14,19,p,1
0.75351,Experiment4Metamer_ResponseGroup2.m,2,20,1,11,19,p,1
0.66601,Experiment4Metamer_ResponseGroup2.m,2,14,2,1,19,p,1
1.1043,Experiment4Metamer_ResponseGroup2.m,1,11,1,1,20,q,1
0.64285,Experiment4Metamer_ResponseGroup2.m,1,16,1,13,20,q,1
0.55241,Experiment4Metamer_ResponseGroup2.m,1,4,2,12,20,q,1
0.81069,Experiment4Metamer_ResponseGroup2.m,1,11,1,9,20,q,1
1.0311,Experiment4Metamer_ResponseGroup2.m,1,4,2,5,20,q,1
0.79505,Experiment4Metamer_ResponseGroup2.m,1,18,1,16,20,q,1
0.59219,Experiment4Metamer_ResponseGroup2.m,1,7,2,2,20,q,1
0.61846,Experiment4Metamer_ResponseGroup2.m,1,7,2,18,20,q,1
0.60341,Experiment4Metamer_ResponseGroup2.m,2,13,1,7,19,p,1
0.60458,Experiment4Metamer_ResponseGroup2.m,1,12,2,15,20,q,1
0.53026,Experiment4Metamer_ResponseGroup2.m,1,14,2,5,20,q,1
0.54519,Experiment4Metamer_ResponseGroup2.m,1,10,1,1,20,q,1
0.73568,Experiment4Metamer_ResponseGroup2.m,1,12,1,20,20,q,1
0.69827,Experiment4Metamer_ResponseGroup2.m,1,7,1,2,20,q,1
0.7955,Experiment4Metamer_ResponseGroup2.m,1,12,2,13,20,q,1
0.61006,Experiment4Metamer_ResponseGroup2.m,1,18,1,7,20,q,1
0.63554,Experiment4Metamer_ResponseGroup2.m,1,9,2,10,20,q,1
0.61221,Experiment4Metamer_ResponseGroup2.m,2,13,2,12,19,p,1
1.0786,Experiment4Metamer_ResponseGroup2.m,2,2,1,4,20,q,0
0.7969,Experiment4Metamer_ResponseGroup2.m,1,1,1,4,19,p,0
0.73325,Experiment4Metamer_ResponseGroup2.m,1,1,2,2,19,p,0
0.73624,Experiment4Metamer_ResponseGroup2.m,1,5,1,5,19,p,0
0.94759,Experiment4Metamer_ResponseGroup2.m,2,1,1,3,20,q,0
0.83154,Experiment4Metamer_ResponseGroup2.m,2,2,2,5,20,q,0
0.9262,Experiment4Metamer_ResponseGroup2.m,2,2,2,1,20,q,0
0.81789,Experiment4Metamer_ResponseGroup2.m,1,4,1,2,19,p,0
0.60033,Experiment4Metamer_ResponseGroup2.m,2,2,2,5,20,q,0
1.1573,Experiment4Metamer_ResponseGroup2.m,2,3,2,3,20,q,0
