RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,,,,Error rate
888,Experiment4Metamer_ResponseGroup1.m,1,8,2,14,888,888,888,,,,0.4703125
888,Experiment4Metamer_ResponseGroup1.m,2,4,1,10,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup1.m,1,2,2,8,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup1.m,2,1,1,19,888,888,888,,,,
888,Experiment4Metamer_ResponseGroup1.m,2,7,1,15,888,888,888,,,,
0.80628,Experiment4Metamer_ResponseGroup1.m,1,2,2,13,19,p,1,,,,
1.2476,Experiment4Metamer_ResponseGroup1.m,2,17,2,13,20,q,1,,,,
0.21949,Experiment4Metamer_ResponseGroup1.m,2,6,2,12,20,q,1,,,,
0.49079,Experiment4Metamer_ResponseGroup1.m,2,3,2,19,20,q,1,,,,
0.13623,Experiment4Metamer_ResponseGroup1.m,2,2,1,19,20,q,1,,,,
0.26912,Experiment4Metamer_ResponseGroup1.m,2,12,2,1,20,q,1,,,,
0.3565,Experiment4Metamer_ResponseGroup1.m,1,3,2,11,19,p,1,,,,
0.45838,Experiment4Metamer_ResponseGroup1.m,2,3,1,8,20,q,1,,,,
0.66075,Experiment4Metamer_ResponseGroup1.m,1,9,1,11,19,p,1,,,,
0.62619,Experiment4Metamer_ResponseGroup1.m,1,2,1,17,19,p,1,,,,
1.7773,Experiment4Metamer_ResponseGroup1.m,1,9,2,16,19,p,1,,,,
0.65892,Experiment4Metamer_ResponseGroup1.m,1,15,1,2,19,p,1,,,,
0.81544,Experiment4Metamer_ResponseGroup1.m,2,2,1,10,20,q,1,,,,
0.58248,Experiment4Metamer_ResponseGroup1.m,1,1,2,3,19,p,1,,,,
0.50488,Experiment4Metamer_ResponseGroup1.m,2,5,1,13,20,q,1,,,,
0.0017362,Experiment4Metamer_ResponseGroup1.m,1,17,2,1,19,p,1,,,,
0.23841,Experiment4Metamer_ResponseGroup1.m,2,8,1,9,20,q,1,,,,
0.22045,Experiment4Metamer_ResponseGroup1.m,1,11,2,7,19,p,1,,,,
0.57654,Experiment4Metamer_ResponseGroup1.m,2,12,2,5,20,q,1,,,,
0.35795,Experiment4Metamer_ResponseGroup1.m,1,20,1,10,19,p,1,,,,
0.064205,Experiment4Metamer_ResponseGroup1.m,2,3,1,4,20,q,1,,,,
0.0019289,Experiment4Metamer_ResponseGroup1.m,1,17,2,11,19,p,1,,,,
0.03871,Experiment4Metamer_ResponseGroup1.m,2,15,2,8,20,q,1,,,,
0.28403,Experiment4Metamer_ResponseGroup1.m,1,5,1,18,19,p,1,,,,
0.55748,Experiment4Metamer_ResponseGroup1.m,2,5,2,20,20,q,1,,,,
0.52954,Experiment4Metamer_ResponseGroup1.m,1,2,2,9,19,p,1,,,,
0.3706,Experiment4Metamer_ResponseGroup1.m,1,17,1,7,19,p,1,,,,
0.26559,Experiment4Metamer_ResponseGroup1.m,1,15,1,10,19,p,1,,,,
0.39263,Experiment4Metamer_ResponseGroup1.m,2,17,2,4,20,q,1,,,,
0.37361,Experiment4Metamer_ResponseGroup1.m,1,20,1,2,19,p,1,,,,
0.0017486,Experiment4Metamer_ResponseGroup1.m,2,14,2,20,20,q,1,,,,
0.28617,Experiment4Metamer_ResponseGroup1.m,1,6,2,9,19,p,1,,,,
0.73126,Experiment4Metamer_ResponseGroup1.m,2,16,1,17,20,q,1,,,,
0.18726,Experiment4Metamer_ResponseGroup1.m,2,2,1,4,20,q,1,,,,
0.07112,Experiment4Metamer_ResponseGroup1.m,2,8,2,10,20,q,1,,,,
0.5954,Experiment4Metamer_ResponseGroup1.m,1,12,1,18,19,p,1,,,,
0.74842,Experiment4Metamer_ResponseGroup1.m,2,19,2,16,20,q,1,,,,
0.0017457,Experiment4Metamer_ResponseGroup1.m,2,20,2,6,20,q,1,,,,
0.21003,Experiment4Metamer_ResponseGroup1.m,1,16,1,13,19,p,1,,,,
0.26681,Experiment4Metamer_ResponseGroup1.m,2,18,1,3,20,q,1,,,,
0.029336,Experiment4Metamer_ResponseGroup1.m,1,15,2,6,19,p,1,,,,
0.25065,Experiment4Metamer_ResponseGroup1.m,1,14,1,14,19,p,1,,,,
0.62292,Experiment4Metamer_ResponseGroup1.m,1,15,2,7,19,p,1,,,,
0.0065587,Experiment4Metamer_ResponseGroup1.m,2,14,2,14,20,q,1,,,,
0.39368,Experiment4Metamer_ResponseGroup1.m,1,11,1,15,19,p,1,,,,
0.15529,Experiment4Metamer_ResponseGroup1.m,1,10,1,8,19,p,1,,,,
0.23913,Experiment4Metamer_ResponseGroup1.m,1,8,1,1,19,p,1,,,,
0.24359,Experiment4Metamer_ResponseGroup1.m,1,6,2,16,19,p,1,,,,
0.098016,Experiment4Metamer_ResponseGroup1.m,1,11,1,10,19,p,1,,,,
0.27795,Experiment4Metamer_ResponseGroup1.m,2,14,1,20,20,q,1,,,,
0.35406,Experiment4Metamer_ResponseGroup1.m,1,12,2,14,19,p,1,,,,
1.4532,Experiment4Metamer_ResponseGroup1.m,1,19,1,7,19,p,1,,,,
0.65205,Experiment4Metamer_ResponseGroup1.m,2,2,1,16,20,q,1,,,,
