RT,expName,currWordCategory,currWordNumber,currImageCategory,currImageNumber,pressedKeyNum,pressedKeyName,error,
1.6872,Experiment4Metamer_ResponseGroup1.m,1,5,1,5,20,q,0,
0.84094,Experiment4Metamer_ResponseGroup1.m,1,2,1,2,20,q,0,
0.55994,Experiment4Metamer_ResponseGroup1.m,1,5,2,2,20,q,0,
0.85696,Experiment4Metamer_ResponseGroup1.m,1,1,2,1,20,q,0,
0.68907,Experiment4Metamer_ResponseGroup1.m,2,1,1,5,19,p,0,
0.53903,Experiment4Metamer_ResponseGroup1.m,2,1,1,1,19,p,0,
0.79788,Experiment4Metamer_ResponseGroup1.m,2,2,2,3,19,p,0,
0.77111,Experiment4Metamer_ResponseGroup1.m,1,1,1,1,20,q,0,
0.79856,Experiment4Metamer_ResponseGroup1.m,2,2,2,1,19,p,0,
1.2732,Experiment4Metamer_ResponseGroup1.m,1,1,2,4,20,q,0,
0.94791,Experiment4Metamer_ResponseGroup1.m,1,2,2,13,20,q,0,
0.70917,Experiment4Metamer_ResponseGroup1.m,2,17,2,13,19,p,0,
0.85365,Experiment4Metamer_ResponseGroup1.m,2,14,2,11,19,p,0,
0.81054,Experiment4Metamer_ResponseGroup1.m,2,6,2,12,19,p,0,
0.59114,Experiment4Metamer_ResponseGroup1.m,2,7,2,5,20,q,1,
0.87377,Experiment4Metamer_ResponseGroup1.m,1,10,1,4,20,q,0,
0.60903,Experiment4Metamer_ResponseGroup1.m,1,2,1,4,20,q,0,
0.70668,Experiment4Metamer_ResponseGroup1.m,2,3,2,19,19,p,0,
0.72894,Experiment4Metamer_ResponseGroup1.m,2,12,1,19,19,p,0,
0.75373,Experiment4Metamer_ResponseGroup1.m,2,2,1,19,20,q,1,
0.84738,Experiment4Metamer_ResponseGroup1.m,1,8,2,14,20,q,0,
0.60647,Experiment4Metamer_ResponseGroup1.m,2,12,2,1,19,p,0,
0.89899,Experiment4Metamer_ResponseGroup1.m,1,3,2,11,20,q,0,
0.62321,Experiment4Metamer_ResponseGroup1.m,2,3,1,8,19,p,0,
0.84567,Experiment4Metamer_ResponseGroup1.m,1,9,1,11,20,q,0,
1.0295,Experiment4Metamer_ResponseGroup1.m,2,19,2,2,19,p,0,
0.93548,Experiment4Metamer_ResponseGroup1.m,2,8,1,10,19,p,0,
0.70549,Experiment4Metamer_ResponseGroup1.m,1,13,1,6,20,q,0,
0.57586,Experiment4Metamer_ResponseGroup1.m,2,3,2,15,19,p,0,
0.83923,Experiment4Metamer_ResponseGroup1.m,1,11,2,6,20,q,0,
0.61356,Experiment4Metamer_ResponseGroup1.m,2,3,2,16,19,p,0,
0.59394,Experiment4Metamer_ResponseGroup1.m,2,6,1,4,19,p,0,
0.76722,Experiment4Metamer_ResponseGroup1.m,1,2,1,17,20,q,0,
0.68304,Experiment4Metamer_ResponseGroup1.m,1,13,1,9,20,q,0,
0.81682,Experiment4Metamer_ResponseGroup1.m,2,14,2,18,19,p,0,
